#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU4966	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_hauense
OTU5510	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Leadbetterella	Leadbetterella_byssophila
OTU7320	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Emticicia	Emticicia_ginsengisoli
OTU5465	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter_koreensis
OTU5434	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter_psychrophilus
OTU7287	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter_jiangsuensis
OTU5463	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter_ginsengisoli
OTU3950	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus_terrigena
OTU4440	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4408	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	NA
OTU4039	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU5738	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_kribbensis
OTU3925	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_kribbensis
OTU4194	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	NA
OTU3975	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4076	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU5631	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA
OTU4497	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU7431	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4245	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA
OTU7433	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4159	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU5635	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4030	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4371	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	NA
OTU4336	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	NA
OTU4525	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU5660	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	NA
OTU5578	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_kribbensis
OTU5713	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU5519	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4450	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4315	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4335	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4034	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4585	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4686	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4485	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Not_Available	Chryseolinea	Chryseolinea_serpens
OTU4533	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU7429	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU7430	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia_koreensis
OTU4038	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA	NA
OTU4482	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga_hutchinsonii
OTU4216	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	Sporocytophaga_myxococcoides
OTU4374	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella_chishuiensis
OTU4606	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella_chishuiensis
OTU4664	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella_chishuiensis
OTU4607	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella_chishuiensis
OTU4662	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Taibaiella	Taibaiella_chishuiensis
OTU3649	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	NA
OTU4187	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	NA
OTU3145	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Lacibacter	Lacibacter_cauensis
OTU3475	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	NA
OTU3148	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	NA
